,m,r,5,alpha
0,0.0,0.0,0.20750000000000002,
1,0.0,1.0,0.21899999999999997,
2,0.0,2.0,0.24450000000000005,
3,0.0,3.0,0.21399999999999997,
4,0.0,4.0,0.21150000000000002,
5,1.0,0.0,0.21050000000000002,
6,1.0,1.0,0.18500000000000005,
7,1.0,2.0,0.19499999999999995,
8,1.0,3.0,0.17000000000000004,
9,1.0,4.0,0.19099999999999995,
10,2.0,0.0,0.19199999999999995,
11,2.0,1.0,0.18700000000000006,
12,2.0,2.0,0.20799999999999996,
13,2.0,3.0,0.20750000000000002,
14,2.0,4.0,0.20899999999999996,
15,3.0,0.0,0.1905,
16,3.0,1.0,0.1855,
17,3.0,2.0,0.17300000000000004,
18,3.0,3.0,0.15849999999999997,
19,3.0,4.0,0.16200000000000003,
20,4.0,0.0,0.1765,
21,4.0,1.0,0.1905,
22,4.0,2.0,0.1955,
23,4.0,3.0,0.19899999999999995,
24,4.0,4.0,0.17900000000000005,
25,5.0,0.0,0.18700000000000006,
26,5.0,1.0,0.18600000000000005,
27,5.0,2.0,0.20399999999999996,
28,5.0,3.0,0.1875,
29,5.0,4.0,0.1745,
30,10.0,0.0,0.19699999999999995,
31,10.0,1.0,0.19499999999999995,
32,10.0,2.0,0.19299999999999995,
33,10.0,3.0,0.19299999999999995,
34,10.0,4.0,0.18500000000000005,
35,20.0,0.0,0.17800000000000005,
36,20.0,1.0,0.20399999999999996,
37,20.0,2.0,0.2015,
38,20.0,3.0,0.21999999999999997,
39,20.0,4.0,0.21350000000000002,
