,m,r,5,alpha
0,0.0,0.0,0.15300000000000002,
1,0.0,1.0,0.15900000000000003,
2,0.0,2.0,0.15349999999999997,
3,0.0,3.0,0.14100000000000001,
4,0.0,4.0,0.14900000000000002,
5,1.0,0.0,0.134,
6,1.0,1.0,0.129,
7,1.0,2.0,0.139,
8,1.0,3.0,0.14300000000000002,
9,1.0,4.0,0.14300000000000002,
10,2.0,0.0,0.14,
11,2.0,1.0,0.13949999999999996,
12,2.0,2.0,0.13349999999999995,
13,2.0,3.0,0.134,
14,2.0,4.0,0.13849999999999996,
15,3.0,0.0,0.138,
16,3.0,1.0,0.12450000000000006,
17,3.0,2.0,0.13749999999999996,
18,3.0,3.0,0.135,
19,3.0,4.0,0.13449999999999995,
20,4.0,0.0,0.13449999999999995,
21,4.0,1.0,0.13249999999999995,
22,4.0,2.0,0.129,
23,4.0,3.0,0.14349999999999996,
24,4.0,4.0,0.12549999999999994,
25,5.0,0.0,0.14,
26,5.0,1.0,0.135,
27,5.0,2.0,0.139,
28,5.0,3.0,0.13649999999999995,
29,5.0,4.0,0.133,
30,10.0,0.0,0.14900000000000002,
31,10.0,1.0,0.14349999999999996,
32,10.0,2.0,0.14800000000000002,
33,10.0,3.0,0.14649999999999996,
34,10.0,4.0,0.15000000000000002,
35,20.0,0.0,0.14800000000000002,
36,20.0,1.0,0.14800000000000002,
37,20.0,2.0,0.15100000000000002,
38,20.0,3.0,0.15100000000000002,
39,20.0,4.0,0.15900000000000003,
