INFO:root:{'exp_name': 'singlehead_rotated_tasks', 'dataset': 'cifar10', 'task': [2, 3], 'angles': [135], 'net': 'smallconv', 'n': 100, 'm_n_ratio': [0, 3, 5, 10, 20], 'sample_scheme': False, 'hp': {'epochs': 100, 'batch_size': 128, 'lr': 0.01, 'l2_reg': 1e-05}, 'reps': 10, 'task_aware': True, 'tune_alpha': True, 'val_split': 0.15, 'save_folder': './experiments/results/cifar10_rotated_tasks/Optimal_Task_Aware_2022_07_23_02:59:40', 'setting': 'Optimal_Task_Aware'}
INFO:root:{'angle': 135, 'm_n_ratio': 0, 'replicate_id': 0, 'alpha': 0.5, 'target_risk': 0.3275}
INFO:root:{'angle': 135, 'm_n_ratio': 5, 'replicate_id': 6, 'alpha': 0.8000000000000003, 'target_risk': 0.2905}
INFO:root:{'angle': 135, 'm_n_ratio': 5, 'replicate_id': 7, 'alpha': 0.8000000000000003, 'target_risk': 0.2975}
INFO:root:{'angle': 135, 'm_n_ratio': 5, 'replicate_id': 8, 'alpha': 0.8000000000000003, 'target_risk': 0.307}
INFO:root:{'angle': 135, 'm_n_ratio': 5, 'replicate_id': 9, 'alpha': 0.8000000000000003, 'target_risk': 0.298}
INFO:root:{'angle': 135, 'm_n_ratio': 10, 'replicate_id': 0, 'alpha': 0.923, 'target_risk': 0.307}
INFO:root:{'angle': 135, 'm_n_ratio': 10, 'replicate_id': 1, 'alpha': 0.923, 'target_risk': 0.303}
INFO:root:{'angle': 135, 'm_n_ratio': 10, 'replicate_id': 2, 'alpha': 0.923, 'target_risk': 0.309}
INFO:root:{'angle': 135, 'm_n_ratio': 10, 'replicate_id': 3, 'alpha': 0.923, 'target_risk': 0.3045}
INFO:root:{'angle': 135, 'm_n_ratio': 10, 'replicate_id': 4, 'alpha': 0.923, 'target_risk': 0.3125}
INFO:root:{'angle': 135, 'm_n_ratio': 10, 'replicate_id': 5, 'alpha': 0.923, 'target_risk': 0.317}
INFO:root:{'angle': 135, 'm_n_ratio': 10, 'replicate_id': 6, 'alpha': 0.923, 'target_risk': 0.304}
INFO:root:{'angle': 135, 'm_n_ratio': 10, 'replicate_id': 7, 'alpha': 0.923, 'target_risk': 0.305}
INFO:root:{'angle': 135, 'm_n_ratio': 10, 'replicate_id': 8, 'alpha': 0.923, 'target_risk': 0.304}
INFO:root:{'angle': 135, 'm_n_ratio': 10, 'replicate_id': 9, 'alpha': 0.923, 'target_risk': 0.307}
INFO:root:{'angle': 135, 'm_n_ratio': 20, 'replicate_id': 0, 'alpha': 0.929, 'target_risk': 0.298}
INFO:root:{'angle': 135, 'm_n_ratio': 20, 'replicate_id': 1, 'alpha': 0.929, 'target_risk': 0.303}
INFO:root:{'angle': 135, 'm_n_ratio': 20, 'replicate_id': 2, 'alpha': 0.929, 'target_risk': 0.311}
INFO:root:{'angle': 135, 'm_n_ratio': 20, 'replicate_id': 3, 'alpha': 0.929, 'target_risk': 0.314}
INFO:root:{'angle': 135, 'm_n_ratio': 20, 'replicate_id': 4, 'alpha': 0.929, 'target_risk': 0.3155}
INFO:root:{'angle': 135, 'm_n_ratio': 20, 'replicate_id': 5, 'alpha': 0.929, 'target_risk': 0.3115}
INFO:root:{'angle': 135, 'm_n_ratio': 20, 'replicate_id': 6, 'alpha': 0.929, 'target_risk': 0.3085}
INFO:root:{'angle': 135, 'm_n_ratio': 20, 'replicate_id': 7, 'alpha': 0.929, 'target_risk': 0.2895}
INFO:root:{'angle': 135, 'm_n_ratio': 20, 'replicate_id': 8, 'alpha': 0.929, 'target_risk': 0.306}
INFO:root:{'angle': 135, 'm_n_ratio': 20, 'replicate_id': 9, 'alpha': 0.929, 'target_risk': 0.3085}
